lat,lon,genus,species,dbh,dbh_min,dbh_max,year_min,year_max,crown,crown_min,crown_max,height,height_min,height_max,common,location,ref,maintenance,maturity,planted,updated,health,variety,description,family,ule_min,ule_max,address
-38.344595,143.592171,Melaleuca,Stypheliodes,1,,,,,,,,5,,,Prickly Paperback,street,10001,,mature,1975-01-01,,,,,,,,106 Queen ST COLAC VIC 3250
-38.346198,143.591812,Melaleuca,Stypheliodes,1,,,,,,,,4,,,Prickly Paperback,street,10004,,mature,1975-01-01,,,,,,,,122 Queen ST COLAC VIC 3250
-38.342097,143.588944,Fraxinus,Excelsior,1.2,,,,,,,,12,,,Golden Ash,street,10007,,mature,1980-01-01,,,,,,,,40 Rae ST COLAC VIC 3250
-38.341927,143.588715,Agonis,Flexuosa,0.4,,,,,,,,5,,,Weeping Willow Myrtle,street,10018,,semi-mature,1980-01-01,,,,,,,,47 Rae ST COLAC VIC 3250//next to coles coaches
-38.342044,143.591182,Eucalyptus,Nichollii,0.3,,,,,,,,6,,,Willow Peppermint,street,10021,,mature,1980-01-01,,,,,,,,56 Rae ST COLAC VIC 3250//Between Queen St & CCDA
-38.342362,143.584664,Lophostermon,Confertus,1.2,,,,,,,,12,,,Queensland Box Brush,street,10024,,mature,1980-01-01,,,,,,,,2-6 Rae ST COLAC VIC 3250//Corangamite Street side//6 TREES
-38.342824,143.584702,Lophostermon,Confertus,1,,,,,,,,9,,,Queensland Box Brush,street,10027,,mature,1980-01-01,,,,,,,,2-6 Rae ST COLAC VIC 3250//Corangamite Street side//6 TREES
-38.341948,143.591984,Fraxinus,Excelsior,0.5,,,,,,,,4,,,Golden Ash,street,10030,,semi-mature,1980-01-01,,,,,,,,56 Rae ST COLAC VIC 3250//Between Queen St & CCDA
-38.343135,143.584722,Lophostermon,Confertus,1,,,,,,,,12,,,Queensland Box Brush,street,10038,,mature,1980-01-01,,,,,,,,2-6 Rae ST COLAC VIC 3250//Corangamite Street side//6 TREES
-38.34374,143.581168,Malus,Ioensis,0.15,,,,,,,,3,,,Pink Crab Apple,street,10044,,semi-mature,1985-01-01,,,,,,,,13 Railway ST COLAC VIC 3250//2 TREES
-38.348305,143.59333,Prunus,Elvins,0.7,,,,,,,,5,,,Weeping Prunus,street,10050,,semi-mature,1970-01-01,,,,,,,,15 Richard ST COLAC VIC 3250
-38.348213,143.592157,Melaleuca,Stypheliodes,0.4,,,,,,,,2,,,Prickly Paperback,street,10058,,semi-mature,1970-01-01,,,,,,,,3 Richard ST COLAC VIC 3250
-38.348148,143.578399,Melaleuca,Linarifolia,1.2,,,,,,,,7,,,Snow in Summer,street,10064,,mature,1975-01-01,,,,,,,,27 Richmond ST COLAC VIC 3250
-38.347938,143.578545,Melaleuca,Stypheliodes,0.5,,,,,,,,5,,,Prickly Paperback,street,10067,,mature,1985-01-01,,,,,,,,24 Richmond ST COLAC VIC 3250
-38.347536,143.578644,Melaleuca,Linarifolia,0.8,,,,,,,,5,,,Snow in Summer,street,10070,,mature,1985-01-01,,,,,,,,18 Richmond ST COLAC VIC 3250
-38.346655,143.577416,Melaleuca,Stypheliodes,0.9,,,,,,,,5,,,Prickly Paperback,street,10090,,semi-mature,1985-01-01,,,,,,,,25 Robertson ST COLAC VIC 3250
-38.346748,143.577123,Melaleuca,Linarifolia,0.3,,,,,,,,5,,,Snow in Summer,street,10093,,semi-mature,1985-01-01,,,,,,,,25 Robertson ST COLAC VIC 3250//Hancock St//2 trees
-38.334026,143.568785,Melaleuca,Stypheliodes,0.3,,,,,,,,4,,,Prickly Paperback,street,10101,,semi-mature,1970-01-01,,,,,,,,11 Ross ST COLAC VIC 3250
-38.333822,143.568983,Melaleuca,Linarifolia,0.6,,,,,,,,6,,,Snow in Summer,street,10104,,mature,1970-01-01,,,,,,,,10 Ross ST COLAC VIC 3250
-38.333006,143.568757,Prunus,Cerasifera,0.3,,,,,,,,4,,,Cherry Plum,street,10107,,semi-mature,1970-01-01,,,,,,,,1 Ross ST COLAC VIC 3250//Moore street side
-38.335803,143.56846,Melaleuca,Linarifolia,,,,,,,,,,,,Snow in Summer,street,10110,,mature,,,,,,,,,33 Ross ST COLAC VIC 3250
-38.334567,143.568852,Eucalyptus,Viminalis,0.3,,,,,,,,5,,,Manna Gum,street,10113,,semi-mature,1970-01-01,,,,,,,,18 Ross ST COLAC VIC 3250
-38.33474,143.568658,Melaleuca,Stypheliodes,0.3,,,,,,,,4,,,Prickly Paperback,street,10121,,semi-mature,1970-01-01,,,,,,,,19 Ross ST COLAC VIC 3250
