lat,lon,genus,species,dbh,dbh_min,dbh_max,year_min,year_max,crown,crown_min,crown_max,height,height_min,height_max,common,location,ref,maintenance,maturity,planted,updated,health,variety,description,family,ule_min,ule_max,address
-38.339593,143.57872,Lophostermon,Confertus,0.3,,,,,,,,4,,,Queensland Box Brush,street,10127,,semi-mature,1990-01-01,,,,,,,,9 Scott ST COLAC VIC 3250
-38.34118,143.578269,Lophostermon,Confertus,0.1,,,,,,,,2,,,Queensland Box Brush,street,10130,,young,1995-01-01,,,,,,,,21 Scott ST COLAC VIC 3250
-38.343377,143.578101,Lophostermon,Confertus,0.2,,,,,,,,3,,,Queensland Box Brush,street,10133,,semi-mature,1990-01-01,,,,,,,,46 Scott ST COLAC VIC 3250
-38.342713,143.578075,Eucalyptus,Mellidora,0.2,,,,,,,,2,,,Yellow Box,street,10141,,semi-mature,1995-01-01,,,,,,,,37 Scott ST COLAC VIC 3250
-38.331603,143.572256,Prunus,Blierana,,,,,,,,,2,,,Double Pink Flowering Gum,street,10144,,young,2005-01-01,,,,,,,,2 Sears CT COLAC VIC 3250
-38.347456,143.592309,Prunus,Blierana,0.05,,,,,,,,1,,,Double Pink Flowering Gum,street,10150,,semi-mature,1970-01-01,,,,,,,,1 Selwood ST COLAC VIC 3250//Johnson Cres
-38.347117,143.592667,Prunus,Blierana,0.3,,,,,,,,3,,,Double Pink Flowering Gum,street,10153,,semi-mature,1975-01-01,,,,,,,,6 Selwood ST COLAC VIC 3250
-38.347409,143.592632,Prunus,Cerasifera,0.3,,,,,,,,3,,,Cherry Plum,street,10161,,semi-mature,1970-01-01,,,,,,,,2 Selwood ST COLAC VIC 3250//Selwood St
-38.333251,143.571987,Prunus,Cerasifera,0.1,,,,,,,,2,,,Cherry Plum,street,10167,,semi-mature,1975-01-01,,,,,,,,37 Sinclair ST COLAC VIC 3250//3 TREES Moore street side
-38.338194,143.571719,Melaleuca,Linarifolia,0.8,,,,,,,,5,,,Snow in Summer,street,10170,,semi-mature,1985-01-01,,,,,,,,71 Sinclair ST COLAC VIC 3250
-38.340278,143.571323,Melaleuca,Stypheliodes,0.4,,,,,,,,4,,,Prickly Paperback,street,10173,,semi-mature,1985-01-01,,,,,,,,85 Sinclair ST COLAC VIC 3250
-38.335719,143.572581,Photina,Robusta,0.2,,,,,,,,3,,,Photina,street,10184,,semi-mature,1970-01-01,,,,,,,,56 Sinclair ST COLAC VIC 3250//Thompson St side//2 trees
-38.336513,143.572343,Pittosporum,Eugeniodes,0.15,,,,,,,,4,,,Pittosporum,street,10187,,semi-mature,1975-01-01,,,,,,,,64 Sinclair ST COLAC VIC 3250//Adrian St side - 2 trees -
-38.341981,143.571511,Callistemon,Viminalis,,,,,,,,,,,,Weeping Bottle Brush,street,10190,,semi-mature,,,,,,,,,88 Sinclair ST COLAC VIC 3250//nelson St side
-38.335591,143.571871,Agonis,Flexuosa,0.15,,,,,,,,2,,,Weeping Willow Myrtle,street,10193,,young,2002-01-01,,,,,,,,55 Sinclair ST COLAC VIC 3250//McAdam Cres side - 2 trees
-38.34129,143.571302,Lophostermon,Confertus,0.8,,,,,,,,4,,,Queensland Box Brush,street,10196,,semi-mature,1985-01-01,,,,,,,,82 Sinclair ST COLAC VIC 3250
-38.332172,143.572916,Callistemon,Salingus,0.3,,,,,,,,6,,,White Bottle Brush,street,10204,,mature,1975-01-01,,,,,,,,28 Sinclair ST COLAC VIC 3250
-38.332837,143.572624,Melaleuca,Linarifolia,0.6,,,,,,,,5,,,Snow in Summer,street,10207,,mature,1975-01-01,,,,,,,,33 Sinclair ST COLAC VIC 3250
-38.333041,143.572594,Melaleuca,Stypheliodes,0.5,,,,,,,,6,,,Prickly Paperback,street,10210,,semi-mature,1975-01-01,,,,,,,,35 Sinclair ST COLAC VIC 3250
-38.33446,143.572455,Melaleuca,Stypheliodes,0.2,,,,,,,,3,,,prickly paperbark,street,10213,,semi-mature,1970-01-01,,,,,,,,44 Sinclair ST COLAC VIC 3250
-38.331726,143.572616,Prunus,Blierana,0.15,,,,,,,,5,,,Double Pink Flowering Gum,street,10224,,semi-mature,1975-01-01,,,,,,,,23 Sinclair ST COLAC VIC 3250//Sears Court side
-38.330209,143.573142,Callistemon,Viminalis,0.3,,,,,,,,5,,,Weeping Bottle Brush,street,10227,,semi-mature,1975-01-01,,,,,,,,3 Sinclair ST COLAC VIC 3250
-38.33722,143.577685,Fraxinus,Oxycarpa,1.2,,,,,,,,7,,,Desert Ash,street,10247,,mature,1975-01-01,,,,,,,,57 Skene ST COLAC VIC 3250
-38.337295,143.577422,Fraxinus,Oxycarpa,1.2,,,,,,,,7,,,Desert Ash,street,10250,,mature,1975-01-01,,,,,,,,56 Skene ST COLAC VIC 3250
-38.337521,143.582704,Fraxinus,Excelsior,0.3,,,,,,,,2,,,Golden Ash,street,10253,,semi-mature,1985-01-01,,,,,,,,9 Skene ST COLAC VIC 3250//tree in manifold
-38.338162,143.582676,Lophostermon,Confertus,0.2,,,,,,,,3,,,Queensland Box Brush,street,10256,,semi-mature,1985-01-01,,,,,,,,15 Skene ST COLAC VIC 3250//3 trees
-38.337537,143.582301,Fraxinus,,0.3,,,,,,,,3,,,|Golden Ash,street,10259,,semi-mature,1985-01-01,,,,,,,,9 Skene ST COLAC VIC 3250//Manifold St Funeral Parlour 2 trees
-38.337939,143.580452,Lophostermon,Confertus,0.2,,,,,,,,2,,,Queensland Box Brush,street,10267,,semi-mature,1980-01-01,,,,,,,,1/26-28 Skene ST COLAC VIC 3250
-38.337553,143.578712,Fraxinus,Oxycarpa,1.2,,,,,,,,7,,,Desert Ash,street,10270,,mature,1975-01-01,,,,,,,,44 Skene ST COLAC VIC 3250
-38.337438,143.578234,Fraxinus,Oxycarpa,1.2,,,,,,,,7,,,Desert Ash,street,10273,,mature,1975-01-01,,,,,,,,48 Skene ST COLAC VIC 3250
-38.346943,143.589478,Prunus,Elvins,0.5,,,,,,,,4,,,Weeping Prunus,street,10279,,semi-mature,1985-01-01,,,,,,,,41 Stewart ST COLAC VIC 3250
-38.349068,143.589191,Prunus,Blierana,0.6,,,,,,,,3,,,Double Pink Flowering Gum,street,10287,,semi-mature,1975-01-01,,,,,,,,1/55 Stewart ST COLAC VIC 3250
-38.349428,143.589123,Prunus,Serrulata,0.05,,,,,,,,1,,,Mt Fuji,street,10290,,young,2004-01-01,,,,,,,,59 Stewart ST COLAC VIC 3250//2 trees
-38.344708,143.589945,Prunus,Cerasifera,0.5,,,,,,,,4,,,Cherry Plum,street,10293,,semi-mature,1985-01-01,,,,,,,,14 Stewart ST COLAC VIC 3250//2 trees
-38.344378,143.589824,Prunus,Blierana,0.4,,,,,,,,3,,,Double Pink Flowering Gum,street,10296,,semi-mature,1985-01-01,,,,,,,,17 Stewart ST COLAC VIC 3250
-38.344512,143.590954,Prunus,Blierana,0.4,,,,,,,,5,,,Double Pink Flowering Gum,street,10299,,semi-mature,1985-01-01,,,,,,,,5 Stewart ST COLAC VIC 3250
-38.329467,143.571413,Melaleuca,Linarifolia,0.4,,,,,,,,3,,,Snow in Summer,street,10307,,semi-mature,1980-01-01,,,,,,,,24 Stodart ST COLAC VIC 3250
-38.329648,143.572896,Melaleuca,Linarifolia,0.3,,,,,,,,4,,,Snow in Summer,street,10310,,semi-mature,1980-01-01,,,,,,,,12 Stodart ST COLAC VIC 3250
-38.329369,143.571568,Melaleuca,Stypheliodes,0.1,,,,,,,,2,,,Prickly Paperback,street,10313,,young,1980-01-01,,,,,,,,23 Stodart ST COLAC VIC 3250
-38.329679,143.574183,Betula,Alba,0.3,,,,,,,,3,,,Silver Birch,street,10316,,semi-mature,1980-01-01,,,,,,,,1 Stodart ST COLAC VIC 3250//6 TREES
-38.329108,143.569341,Prunus,Cerasifera,0.4,,,,,,,,7,,,Cherry Plum,street,10319,,mature,1980-01-01,,,,,,,,43 Stodart ST COLAC VIC 3250//3 TREES
-38.329188,143.568938,Melaleuca,Linarifolia,0.4,,,,,,,,4,,,Snow in Summer,street,10330,,semi-mature,1970-01-01,,,,,,,,44 Stodart ST COLAC VIC 3250
-38.348242,143.596339,Melaleuca,Linarifolia,0.6,,,,,,,,4,,,Snow in Summer,street,10333,,semi-mature,1980-01-01,,,,,,,,38-40 Talbot ST COLAC VIC 3250//in front on No 40 Talbot
-38.348453,143.596329,Callistemon,Citrinus,0.4,,,,,,,,2,,,Scarlet Bottle brush,street,10336,,semi-mature,1980-01-01,,,,,,,,42 Talbot ST COLAC VIC 3250
-38.347715,143.59642,Melaleuca,Stypheliodes,0.4,,,,,,,,10,,,Prickly Paperback,street,10339,,mature,1980-01-01,,,,,,,,34 Talbot ST COLAC VIC 3250
-38.346923,143.596463,Melaleuca,Stypheliodes,0.3,,,,,,,,4,,,Prickly Paperback,street,10342,,semi-mature,1980-01-01,,,,,,,,21 Talbot ST COLAC VIC 3250//2 trees
-38.346669,143.596642,Melaleuca,Stypheliodes,0.3,,,,,,,,3,,,Prickly Paperback,street,10350,,semi-mature,1980-01-01,,,,,,,,22 Talbot ST COLAC VIC 3250
-38.346874,143.596591,Acacia,Baileyana,0.05,,,,,,,,2,,,Cootamundra Wattle,street,10353,,semi-mature,1980-01-01,,,,,,,,24 Talbot ST COLAC VIC 3250
-38.331921,143.597233,Prunus,Cerasifera,0.2,,,,,,,,2,,,Cherry Plum,street,10370,,semi-mature,1990-01-01,,,,,,,,28 The Esplanade COLAC VIC 3250
-38.347419,143.595527,Lophostermon,Confertus,0.5,,,,,,,,4,,,Queensland Box Brush,street,10373,,semi-mature,1980-01-01,,,,,,,,17 Thomas ST COLAC VIC 3250
-38.346921,143.595774,Callistemon,Viminalis,0.05,,,,,,,,1,,,Weeping Bottle Brush,street,10376,,young,2005-01-01,,,,,,,,12 Thomas ST COLAC VIC 3250
-38.347264,143.59558,Callistemon,Viminalis,0.5,,,,,,,,4,,,Weeping Bottle Brush,street,10382,,semi-mature,1980-01-01,,,,,,,,15 Thomas ST COLAC VIC 3250
-38.335912,143.57489,Cotoneaster,Orientalis,0.3,,,,,,,,2,,,Cotoneaster,street,10393,,semi-mature,1975-01-01,,,,,,,,1 Thompson ST COLAC VIC 3250
-38.335811,143.574064,Photina,Robusta,0.35,,,,,,,,3,,,Photina,street,10396,,semi-mature,1975-01-01,,,,,,,,9 Thompson ST COLAC VIC 3250
-38.3357,143.573006,Cotoneaster,Orientalis,0.2,,,,,,,,3,,,Cotoneaster,street,10399,,semi-mature,1975-01-01,,,,,,,,19 Thompson ST COLAC VIC 3250
-38.332706,143.596354,Callistemon,Viminalis,0.2,,,,,,,,2,,,Weeping Bottle Brush,street,10413,,young,2004-01-01,,,,,,,,4 Toorak CRES COLAC VIC 3250
-38.332588,143.59599,Prunus,Serrulata,0.1,,,,,,,,2,,,Mt Fuji,street,10416,,semi-mature,1995-01-01,,,,,,,,13 Toorak CRES COLAC VIC 3250
-38.33272,143.595451,Callistemon,Viminalis,0.2,,,,,,,,2,,,Weeping Bottle Brush,street,10419,,semi-mature,1995-01-01,,,,,,,,19 Toorak CRES COLAC VIC 3250
-38.33283,143.596662,Callistemon,Viminalis,0.1,,,,,,,,2,,,Weeping Bottle Brush,street,10422,,semi-mature,1995-01-01,,,,,,,,2 Toorak CRES COLAC VIC 3250//2 trees
-38.334816,143.602142,Callistemon,Citrinus,0.1,,,,,,,,1,,,Scarlett Bottlebrush,street,10425,,young,1995-01-01,,,,,,,,6 Troy ST COLAC VIC 3250//2 trees
-38.334366,143.602613,Callistemon,Citrinus,0.1,,,,,,,,1,,,Scarlet Bottle brush,street,10433,,semi-mature,1990-01-01,,,,,,,,1 Troy ST COLAC VIC 3250//Bruce St//2 trees
-38.334618,143.602541,Agonis,Juniperana,1.3,,,,,,,,6,,,Juniperana Agonis,street,10436,,semi-mature,1985-01-01,,,,,,,,1 Troy ST COLAC VIC 3250//2 trees
-38.335023,143.600969,Callistemon,Citrinus,0.1,,,,,,,,1,,,Scarlett Bottlebrush,street,10439,,young,2004-01-01,,,,,,,,17 Troy ST COLAC VIC 3250
-38.335083,143.600769,Callistemon,Citrinus,0.3,,,,,,,,4,,,Scarlett Bottlebrush,street,10442,,semi-mature,1985-01-01,,,,,,,,19-21 Troy ST COLAC VIC 3250//Pitt St
-38.334979,143.601508,Callistemon,Citrinus,0.1,,,,,,,,1,,,Scarlett Bottlebrush,street,10445,,young,1995-01-01,,,,,,,,12 Troy ST COLAC VIC 3250
-38.342766,143.576927,Prunus,Blierana,0.3,,,,,,,,4,,,Double Pink Flowering Gum,street,10453,,semi-mature,1980-01-01,,,,,,,,7 Ulverstone ST COLAC VIC 3250
-38.343105,143.577022,Eucalyptus,Globulus,1,,,,,,,,8,,,Blue Gum,street,10456,,mature,1980-01-01,,,,,,,,12 Ulverstone ST COLAC VIC 3250
-38.342466,143.576989,Eucalyptus,Mellidora,1,,,,,,,,6,,,Yellow Box,street,10459,,mature,1980-01-01,,,,,,,,3 Ulverstone ST COLAC VIC 3250
-38.340915,143.600767,Agonis,Flexuosa,0.4,,,,,,,,4,,,Weeping Willow Myrtle,street,10465,,mature,1970-01-01,,,,,,,,87 Wallace ST COLAC VIC 3250//2 trees
-38.340834,143.603302,Eucalyptus,Mellidora,0.4,,,,,,,,4,,,Yellow Box,street,10473,,mature,1970-01-01,,,,,,,,89 Wallace ST COLAC VIC 3250
-38.340869,143.604646,Eucalyptus,Nichollii,0.4,,,,,,,,4,,,Willow Peppermint,street,10479,,semi-mature,1970-01-01,,,,,,,,89 Wallace ST COLAC VIC 3250//church to Forest St
-38.341937,143.594072,Agonis,Flexuosa,0.4,,,,,,,,4,,,Weeping Willow Myrtle,street,10482,,semi-mature,1985-01-01,,,,,,,,10 Wallace ST COLAC VIC 3250
-38.341741,143.597757,Agonis,Flexuosa,0.3,,,,,,,,4,,,Weeping Willow Myrtle,street,10485,,mature,1970-01-01,,,,,,,,47 Wallace ST COLAC VIC 3250
-38.341032,143.605327,Eucalyptus,Radiata,0.8,,,,,,,,10,,,Narrow leaf peppermint,street,10488,,mature,1980-01-01,,,,,,,,118 Wallace ST COLAC VIC 3250//Between Forest & Church St
-38.341189,143.600258,Agonis,Flexuosa,1.5,,,,,,,,6,,,Weeping Willow Myrtle,street,10496,,mature,1985-01-01,,,,,,,,74 Wallace ST COLAC VIC 3250
-38.340986,143.603812,Angophora,Costata,0.4,,,,,,,,10,,,Sydney Red Gum,street,10499,,mature,1980-01-01,,,,,,,,118 Wallace ST COLAC VIC 3250//Between Forest & Church St
-38.338744,143.568185,Lophostermon,Confertus,,,,,,,,,,,,Queensland Box Brush,street,10516,,mature,,,,,,,,,14 West ST COLAC VIC 3250
-38.347754,143.590425,Prunus,Blierana,0.4,,,,,,,,3,,,Double Pink Flowering Gum,street,10519,,mature,1975-01-01,,,,,,,,6 Wheal ST COLAC VIC 3250
-38.34766,143.590421,Prunus,Blierana,0.05,,,,,,,,1,,,Double Pink Flowering Gum,street,10522,,young,2005-01-01,,,,,,,,5 Wheal ST COLAC VIC 3250
-38.338594,143.570466,Cotoneaster,Orientalis,0.2,,,,,,,,3,,,Cotoneaster,street,10536,,semi-mature,1970-01-01,,,,,,,,11 White AVE COLAC VIC 3250
-38.332624,143.598511,Callistemon,Viminalis,0.1,,,,,,,,1,,,Weeping Bottle Brush,street,10542,,young,2002-01-01,,,,,,,,2 William ST COLAC VIC 3250
-38.332328,143.599623,Callistemon,Viminalis,0.1,,,,,,,,2,,,Weeping Bottle Brush,street,10545,,mature,1998-01-01,,,,,,,,10 William ST COLAC VIC 3250
-38.33268,143.599593,Lophostermon,Confertus,0.4,,,,,,,,4,,,Queensland Box Brush,street,10548,,semi-mature,1985-01-01,,,,,,,,10 William ST COLAC VIC 3250//Edgar St//2 trees
-38.345652,143.594136,Eucalyptus,Nichollii,0.3,,,,,,,,6,,,Willow Peppermint,street,10562,,semi-mature,1980-01-01,,,,,,,,87 Wilson ST COLAC VIC 3250//Apex Building
-38.345915,143.596123,Prunus,Cerasifera,0.3,,,,,,,,2,,,Cherry Plum,street,10565,,semi-mature,1980-01-01,,,,,,,,79 Wilson ST COLAC VIC 3250
-38.345052,143.60401,Melaleuca,Linarifolia,0.3,,,,,,,,3,,,Snow in Summer,street,10571,,semi-mature,1980-01-01,,,,,,,,11 Wilson ST COLAC VIC 3250
-38.34498,143.588114,Prunus,Cerasifera,0.4,,,,,,,,4,,,Cherry Plum,street,10579,,mature,1980-01-01,,,,,,,,115-129 Wilson ST COLAC VIC 3250//Old CDC//3 Trees
-38.344853,143.586998,Prunus,Cerasifera,0.4,,,,,,,,4,,,Cherry Plum,street,10582,,mature,1980-01-01,,,,,,,,115-129 Wilson ST COLAC VIC 3250//St Laurence Ironing Service
-38.345159,143.586612,Prunus,Blierana,0.4,,,,,,,,5,,,Double Pink Flowering Gum,street,10585,,semi-mature,1980-01-01,,,,,,,,2/136 Wilson ST COLAC VIC 3250//Archer St
-38.34631,143.596694,Melaleuca,Stypheliodes,0.5,,,,,,,,4,,,Prickly Paperback,street,10588,,semi-mature,1980-01-01,,,,,,,,78 Wilson ST COLAC VIC 3250//Talbot St//2 trees
-38.346314,143.596548,Melaleuca,Stypheliodes,0.5,,,,,,,,4,,,Prickly Paperback,street,10591,,mature,1985-01-01,,,,,,,,80 Wilson ST COLAC VIC 3250//Talbot St//2 trees
-38.344054,143.576841,Leptospermum,Petersonii,0.1,,,,,,,,2,,,Lemon Scented Tea-Tree,street,10602,,young,1980-01-01,,,,,,,,210 Wilson ST COLAC VIC 3250//Dunoon St
-38.344224,143.577966,Melaleuca,Stypheliodes,1,,,,,,,,12,,,Prickly Paperback,street,10605,,mature,1980-01-01,,,,,,,,200 Wilson ST COLAC VIC 3250//Robertson ST//2 trees
-38.344854,143.604689,Melaleuca,Linarifolia,0.3,,,,,,,,3,,,Snow in Summer,street,10608,,semi-mature,1980-01-01,,,,,,,,1-9 Wilson ST COLAC VIC 3250//Colac Water Supply//2 trees
-38.345028,143.587369,Prunus,Cerasifera,0.4,,,,,,,,4,,,Cherry Plum,street,10611,,semi-mature,1980-01-01,,,,,,,,130 Wilson ST COLAC VIC 3250
-38.345914,143.595187,Prunus,Cerasifera,0.4,,,,,,,,3,,,Cherry Plum,street,10619,,semi-mature,1980-01-01,,,,,,,,86 Wilson ST COLAC VIC 3250//2 trees
-38.345154,143.588486,Prunus,Cerasifera,0.3,,,,,,,,3,,,Cherry Plum,street,10622,,young,1980-01-01,,,,,,,,124 Wilson ST COLAC VIC 3250//2 trees
-38.345668,143.602263,Eucalyptus,Citriodora,0.3,,,,,,,,6,,,Lemon Scented Gum,street,10625,,semi-mature,1980-01-01,,,,,,,,30 Wilson ST COLAC VIC 3250//Colac Players
-38.345071,143.604442,Lophostermon,Confertus,0.2,,,,,,,,2,,,Queensland Box Brush,street,10628,,semi-mature,1985-01-01,,,,,,,,2-8 Wilson ST COLAC VIC 3250
-38.345131,143.588271,Prunus,Cerasifera,0.3,,,,,,,,3,,,Cherry Plum,street,10631,,semi-mature,1980-01-01,,,,,,,,124 Wilson ST COLAC VIC 3250//2 trees
-38.344023,143.57866,Agonis,Flexuosa,0.8,,,,,,,,5,,,Weeping Willow Myrtle,street,10634,,mature,1980-01-01,,,,,,,,194 Wilson ST COLAC VIC 3250
-38.345433,143.590843,Crataegus,Laevigata,0.4,,,,,,,,3,,,English (pink) Hawthorn,street,10642,,semi-mature,1980-01-01,,,,,,,,108 Wilson ST COLAC VIC 3250
-38.344104,143.579387,Agonis,Flexuosa,0.2,,,,,,,,2,,,Weeping Willow Myrtle,street,10645,,young,2000-01-01,,,,,,,,186 Wilson ST COLAC VIC 3250
-38.344292,143.580922,Prunus,Cerasifera,0.6,,,,,,,,5,,,Cherry Plum,street,10651,,semi-mature,1980-01-01,,,,,,,,174 Wilson ST COLAC VIC 3250
-38.338104,143.598618,Prunus,Blierana,0.4,,,,,,,,2,,,Double Pink Flowering Gum,street,10662,,semi-mature,1985-01-01,,,,,,,,1A Woods ST COLAC VIC 3250
-38.338263,143.598795,Prunus,Serrulata,0.4,,,,,,,,2,,,Flowering Cherry,street,10665,,semi-mature,1985-01-01,,,,,,,,4-6 Woods ST COLAC VIC 3250
-38.339491,143.598995,Prunus,Serrulata,0.3,,,,,,,,2,,,Mr Fuji,street,10668,,semi-mature,1975-01-01,,,,,,,,17 Woods ST COLAC VIC 3250//Fenwick St
-38.338783,143.599019,Prunus,Serrulata,0.2,,,,,,,,2,,,Flowering Cherry,street,10671,,semi-mature,1985-01-01,,,,,,,,10 Woods ST COLAC VIC 3250
-38.33911,143.599171,Prunus,Serrulata,0.2,,,,,,,,2,,,Mr Fuji,street,10674,,semi-mature,1985-01-01,,,,,,,,14 Woods ST COLAC VIC 3250
-38.334781,143.57404,Prunus,Blierana,0.1,,,,,,,,2,,,Double Pink Flowering Gum,street,10682,,young,2002-01-01,,,,,,,,11 Wynne ST COLAC VIC 3250
-38.334893,143.573889,Prunus,Blierana,0.05,,,,,,,,1,,,Double Pink Flowering Gum,street,10694,,young,2005-01-01,,,,,,,,14 Wynne ST COLAC VIC 3250
-38.348661,143.583508,Melaleuca,Stypheliodes,0.3,,,,,,,,6,,,Prickly Paperback,park,11183,,semi-mature,1980-01-01,,,,,,,,13 Inglis CT COLAC VIC 3250//Inglis Court Playground//003
-38.034541,143.629842,Eucalyptus,Leucoxylon,0.75,,,,,,,,6,,,Yellow Gum,street,12068,,mature,1948-01-01,,,,,,,,20 Duverney ST CRESSY VIC 3322
-38.03377,143.627678,Ulmus,Procera,0.4,,,,,,,,3,,,English Elm,street,12076,,mature,1983-01-01,,,,,,,,1 Duverney ST CRESSY VIC 3322
-38.034521,143.628681,Eucalyptus,Nichollii,0.1,,,,,,,,2,,,Willow Peppermint,street,12079,,young,2006-01-01,,,,,,,,15 Duverney ST CRESSY VIC 3322
-38.034824,143.629118,Eucalyptus,Cladocalyx,0.5,,,,,,,,5,,,Sugar Gum,street,12082,,mature,1928-01-01,,,,,,,,19 Duverney ST CRESSY VIC 3322
-38.034573,143.628742,Eucalyptus,Nichollii,0.1,,,,,,,,1,,,Willow Peppermint,street,12085,,young,2006-01-01,,,,,,,,17 Duverney ST CRESSY VIC 3322
-38.034206,143.628284,Kunzea,Baxteri,0.2,,,,,,,,2,,,Scarlet Kunzea,street,12088,,young,2003-01-01,,,,,,,,11 Duverney ST CRESSY VIC 3322
-38.033443,143.62874,Eucalyptus,Cladocalyx,0.5,,,,,,,,6,,,Sugar Gum,street,12099,,mature,1958-01-01,,,,,,,,5 Hall ST CRESSY VIC 3322
-38.032846,143.632074,Eucalyptus,Leucoxylon,0.3,,,,,,,,5,,,Yellow Gum,street,12102,,mature,1958-01-01,,,,,,,,40 Lyons ST CRESSY VIC 3322
-38.03413,143.630542,Fraxinus,Oxycarpa,0.5,,,,,,,,6,,,Desert Ash,street,12105,,semi-mature,1988-01-01,,,,,,,,48 Lyons ST CRESSY VIC 3322
-38.032982,143.631929,Eucalyptus,Leucoxylon,0.3,,,,,,,,9,,,Yellow Gum,street,12108,,mature,1958-01-01,,,,,,,,40 Lyons ST CRESSY VIC 3322
